# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000.8 00000  256 000000003 033333.3 000322 003.2 008.0  128 000000006 016666.7 000323 003.2 008.1  064 000000012 008333.3 000323 003.2 008.1  032 000000024 004166.7 000322 003.2 008.0  016 000000048 002083.3 000323 003.2 008.1  008 000000096 001041.7 000322 003.2 008.0
000001.0 00000  256 000000004 025000.0 000323 003.2 008.1  128 000000008 012500.0 000322 003.2 008.0  064 000000016 006250.0 000323 003.2 008.1  032 000000032 003125.0 000322 003.2 008.0  016 000000064 001562.5 000323 003.2 008.1  008 000000128 000781.2 000323 003.2 008.1
000001.2 00000  256 000000005 020000.0 000322 003.2 008.0  128 000000010 010000.0 000322 003.2 008.0  064 000000020 005000.0 000323 003.2 008.1  032 000000040 002500.0 000323 003.2 008.1  016 000000080 001250.0 000323 003.2 008.1  008 000000160 000625.0 000322 003.2 008.0
000001.5 00000  256 000000006 016666.7 000323 003.2 008.1  128 000000012 008333.3 000321 003.2 008.0  064 000000024 004166.7 000322 003.2 008.0  032 000000048 002083.3 000323 003.2 008.1  016 000000096 001041.7 000323 003.2 008.1  008 000000192 000520.8 000324 003.2 008.1
000002.0 00000  256 000000008 012500.0 000323 003.2 008.1  128 000000016 006250.0 000323 003.2 008.1  064 000000032 003125.0 000323 003.2 008.1  032 000000064 001562.5 000323 003.2 008.1  016 000000128 000781.2 000322 003.2 008.0  008 000000256 000390.6 000321 003.2 008.0
000002.5 00000  256 000000010 010000.0 000321 003.2 008.0  128 000000020 005000.0 000322 003.2 008.0  064 000000040 002500.0 000324 003.2 008.1  032 000000080 001250.0 000321 003.2 008.0  016 000000160 000625.0 000323 003.2 008.1  008 000000320 000312.5 000323 003.2 008.1
000003.0 00000  256 000000012 008333.3 000322 003.2 008.0  128 000000024 004166.7 000322 003.2 008.0  064 000000048 002083.3 000323 003.2 008.1  032 000000096 001041.7 000322 003.2 008.0  016 000000192 000520.8 000323 003.2 008.1  008 000000384 000260.4 000322 003.2 008.0
000004.0 00001  256 000000016 006250.0 000321 003.2 008.0  128 000000032 003125.0 000322 003.2 008.0  064 000000064 001562.5 000322 003.2 008.0  032 000000128 000781.2 000321 003.2 008.0  016 000000256 000390.6 000321 003.2 008.0  008 000000512 000195.3 000321 003.2 008.0
000005.0 00001  256 000000020 005000.0 000321 003.2 008.0  128 000000040 002500.0 000321 003.2 008.0  064 000000080 001250.0 000321 003.2 008.0  032 000000160 000625.0 000321 003.2 008.0  016 000000320 000312.5 000322 003.2 008.0  008 000000640 000156.2 000321 003.2 008.0
000006.0 00001  256 000000024 004166.7 000322 003.2 008.0  128 000000048 002083.3 000322 003.2 008.0  064 000000096 001041.7 000322 003.2 008.0  032 000000192 000520.8 000323 003.2 008.1  016 000000384 000260.4 000322 003.2 008.0  008 000000768 000130.2 000322 003.2 008.0
000008.0 00002  256 000000032 003125.0 000323 003.2 008.1  128 000000064 001562.5 000322 003.2 008.0  064 000000128 000781.2 000323 003.2 008.1  032 000000256 000390.6 000323 003.2 008.1  016 000000512 000195.3 000322 003.2 008.0  008 000001024 000097.7 000323 003.2 008.1
000010.0 00002  256 000000040 002500.0 000321 003.2 008.0  128 000000080 001250.0 000322 003.2 008.0  064 000000160 000625.0 000322 003.2 008.0  032 000000320 000312.5 000322 003.2 008.0  016 000000640 000156.2 000323 003.2 008.1  008 000001280 000078.1 000321 003.2 008.0
000012.0 00003  256 000000048 002083.3 000322 003.2 008.0  128 000000096 001041.7 000322 003.2 008.0  064 000000192 000520.8 000322 003.2 008.0  032 000000384 000260.4 000322 003.2 008.0  016 000000768 000130.2 000322 003.2 008.0  008 000001536 000065.1 000323 003.2 008.1
000016.0 00004  256 000000064 001562.5 000323 003.2 008.1  128 000000128 000781.2 000326 003.3 008.1  064 000000256 000390.6 000322 003.2 008.0  032 000000512 000195.3 000322 003.2 008.0  016 000001024 000097.7 000322 003.2 008.0  008 000002048 000048.8 000324 003.2 008.1
000020.0 00005  256 000000080 001250.0 000322 003.2 008.0  128 000000160 000625.0 000331 003.3 008.3  064 000000320 000312.5 000326 003.3 008.1  032 000000640 000156.2 000324 003.2 008.1  016 000001280 000078.1 000325 003.2 008.1  008 000002560 000039.1 000322 003.2 008.0
000024.0 00006  256 000000096 001041.7 000322 003.2 008.0  128 000000192 000520.8 000330 003.3 008.2  064 000000384 000260.4 000327 003.3 008.2  032 000000768 000130.2 000330 003.3 008.2  016 000001536 000065.1 000328 003.3 008.2  008 000003072 000032.6 000322 003.2 008.0
000032.0 00008  256 000000128 000781.2 000322 003.2 008.0  128 000000256 000390.6 000333 003.3 008.3  064 000000512 000195.3 000335 003.4 008.4  032 000001024 000097.7 000331 003.3 008.3  016 000002048 000048.8 000327 003.3 008.2  008 000004096 000024.4 000324 003.2 008.1
000040.0 00010  256 000000160 000625.0 000832 008.3 020.8  128 000000320 000312.5 000830 008.3 020.7  064 000000640 000156.2 000813 008.1 020.3  032 000001280 000078.1 000599 006.0 015.0  016 000002560 000039.1 000431 004.3 010.8  008 000005120 000019.5 000348 003.5 008.7
000048.0 00012  256 000000192 000520.8 000831 008.3 020.8  128 000000384 000260.4 000829 008.3 020.7  064 000000768 000130.2 000811 008.1 020.3  032 000001536 000065.1 000601 006.0 015.0  016 000003072 000032.6 000432 004.3 010.8  008 000006144 000016.3 000348 003.5 008.7
000064.0 00016  256 000000256 000390.6 000830 008.3 020.7  128 000000512 000195.3 000833 008.3 020.8  064 000001024 000097.7 000813 008.1 020.3  032 000002048 000048.8 000607 006.1 015.2  016 000004096 000024.4 000434 004.3 010.8  008 000008192 000012.2 000349 003.5 008.7
