# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000003 033333.3  016512 000048.4 00012 000322 003.2 008.0  008320 000024.4 00006 000323 003.2 008.1  004224 000012.4 00003 000322 003.2 008.0  002176 000006.4 00001 000323 003.2 008.1  001152 000003.4 00000 000323 003.2 008.1
000000004 025000.0  016512 000064.5 00016 000377 003.8 009.4  008320 000032.5 00008 000322 003.2 008.0  004224 000016.5 00004 000323 003.2 008.1  002176 000008.5 00002 000321 003.2 008.0  001152 000004.5 00001 000323 003.2 008.1
000000005 020000.0  016512 000080.6 00020 000402 004.0 010.0  008320 000040.6 00010 000323 003.2 008.1  004224 000020.6 00005 000322 003.2 008.0  002176 000010.6 00002 000322 003.2 008.0  001152 000005.6 00001 000323 003.2 008.1
000000006 016666.7  016512 000096.8 00024 000404 004.0 010.1  008320 000048.8 00012 000323 003.2 008.1  004224 000024.8 00006 000323 003.2 008.1  002176 000012.8 00003 000323 003.2 008.1  001152 000006.8 00001 000323 003.2 008.1
000000008 012500.0  016512 000129.0 00032 000404 004.0 010.1  008320 000065.0 00016 000350 003.5 008.7  004224 000033.0 00008 000323 003.2 008.1  002176 000017.0 00004 000322 003.2 008.0  001152 000009.0 00002 000323 003.2 008.1
000000010 010000.0  016512 000161.2 00040 000402 004.0 010.0  008320 000081.2 00020 000397 004.0 009.9  004224 000041.2 00010 000322 003.2 008.0  002176 000021.2 00005 000322 003.2 008.0  001152 000011.2 00002 000322 003.2 008.0
000000012 008333.3  016512 000193.5 00048 000403 004.0 010.1  008320 000097.5 00024 000399 004.0 010.0  004224 000049.5 00012 000333 003.3 008.3  002176 000025.5 00006 000323 003.2 008.1  001152 000013.5 00003 000323 003.2 008.1
000000016 006250.0  016512 000258.0 00064 000403 004.0 010.1  008320 000130.0 00032 000402 004.0 010.0  004224 000066.0 00016 000342 003.4 008.5  002176 000034.0 00008 000322 003.2 008.0  001152 000018.0 00004 000322 003.2 008.0
000000020 005000.0  016512 000322.5 00080 000402 004.0 010.0  008320 000162.5 00040 000402 004.0 010.0  004224 000082.5 00020 000399 004.0 010.0  002176 000042.5 00010 000332 003.3 008.3  001152 000022.5 00005 000322 003.2 008.0
000000024 004166.7  016512 000387.0 00096 000402 004.0 010.0  008320 000195.0 00048 000403 004.0 010.1  004224 000099.0 00024 000401 004.0 010.0  002176 000051.0 00012 000333 003.3 008.3  001152 000027.0 00006 000322 003.2 008.0
000000032 003125.0  016512 000516.0 00129 000402 004.0 010.0  008320 000260.0 00065 000402 004.0 010.0  004224 000132.0 00033 000402 004.0 010.0  002176 000068.0 00017 000332 003.3 008.3  001152 000036.0 00009 000323 003.2 008.1
000000040 002500.0  016512 000645.0 00161 000404 004.0 010.1  008320 000325.0 00081 000387 003.9 009.7  004224 000165.0 00041 000401 004.0 010.0  002176 000085.0 00021 000363 003.6 009.1  001152 000045.0 00011 000328 003.3 008.2
000000048 002083.3  016512 000774.0 00193 000404 004.0 010.1  008320 000390.0 00097 000403 004.0 010.1  004224 000198.0 00049 000401 004.0 010.0  002176 000102.0 00025 000362 003.6 009.0  001152 000054.0 00013 000327 003.3 008.2
000000064 001562.5  016512 001032.0 00258 000403 004.0 010.1  008320 000520.0 00130 000403 004.0 010.1  004224 000264.0 00066 000402 004.0 010.0  002176 000136.0 00034 000363 003.6 009.1  001152 000072.0 00018 000334 003.3 008.3
000000080 001250.0  016512 001290.0 00322 000402 004.0 010.0  008320 000650.0 00162 000402 004.0 010.0  004224 000330.0 00082 000401 004.0 010.0  002176 000170.0 00042 000363 003.6 009.1  001152 000090.0 00022 000344 003.4 008.6
000000096 001041.7  016512 001548.0 00387 000416 004.2 010.4  008320 000780.0 00195 000415 004.2 010.4  004224 000396.0 00099 000403 004.0 010.1  002176 000204.0 00051 000365 003.6 009.1  001152 000108.0 00027 000345 003.5 008.6
000000128 000781.2  016512 002064.0 00516 000404 004.0 010.1  008320 001040.0 00260 000404 004.0 010.1  004224 000528.0 00132 000402 004.0 010.0  002176 000272.0 00068 000365 003.6 009.1  001152 000144.0 00036 000355 003.5 008.9
000000160 000625.0  016512 002580.0 00645 000417 004.2 010.4  008320 001300.0 00325 000415 004.2 010.4  004224 000660.0 00165 000409 004.1 010.2  002176 000340.0 00085 000407 004.1 010.2  001152 000180.0 00045 000353 003.5 008.8
000000192 000520.8  016512 003096.0 00774 000417 004.2 010.4  008320 001560.0 00390 000415 004.2 010.4  004224 000792.0 00198 000417 004.2 010.4  002176 000408.0 00102 000374 003.7 009.3  001152 000216.0 00054 000354 003.5 008.8
000000256 000390.6  016512 004128.0 01032 000420 004.2 010.5  008320 002080.0 00520 000420 004.2 010.5  004224 001056.0 00264 000530 005.3 013.2  002176 000544.0 00136 000378 003.8 009.4  001152 000288.0 00072 000357 003.6 008.9
000000320 000312.5  016512 005160.0 01290 001149 011.5 028.7  008320 002600.0 00650 001253 012.5 031.3  004224 001320.0 00330 001209 012.1 030.2  002176 000680.0 00170 000861 008.6 021.5  001152 000360.0 00090 000840 008.4 021.0
000000384 000260.4  016512 006192.0 01548 001318 013.2 032.9  008320 003120.0 00780 001260 012.6 031.5  004224 001584.0 00396 001226 012.3 030.6  002176 000816.0 00204 000864 008.6 021.6  001152 000432.0 00108 000840 008.4 021.0
000000512 000195.3  016512 008256.0 02064 001321 013.2 033.0  008320 004160.0 01040 001261 012.6 031.5  004224 002112.0 00528 001233 012.3 030.8  002176 001088.0 00272 000929 009.3 023.2  001152 000576.0 00144 000838 008.4 020.9
